file	index	id	original	byte_len
DT5TEXT.DAT	11	519	To the south is a balcony leaning out of the tower.  From there you see the lake of fire surrounding Ralith.  Beyond is a grand expanse of plains.  What looks like a dove is perched upon the balcony.	199
DT5TEXT.DAT	12	520	A beautiful bird made of paper folded in to the shape of a dove is on the edge of the balcony.  As you move towards it a great flapping of wings is heard and a great black bat-like creature with red eyes swoops down at you.	223
DT5TEXT.DAT	13	521	You are in a library with stacks of old and dusty tomes.  They all appear to be about elementals and how they are summoned.  It would take a great wizard indeed to summon one, but it is possible.	195
DT5TEXT.DAT	14	522	A shimmering force field prevents you from passing.	51
DT5TEXT.DAT	15	523	A gleaming sword bars further entry into this room.  It follows you movements and maneuvers with great skill.	109
DT5TEXT.DAT	16	524	A red door at the end of the passage is guarded by a demon.  Its skin is red and scaly, its very gaze implies fire that singes the soul.	136
DT5TEXT.DAT	17	525	A blast of heat hits you as you open the door.  A being like a huge bonfire jumps out at you leaving a trail of fury and flames . . .	134
DT51TEXT.DAT	0	506	The statue gallery.  A number of finely carved marble figures adorn the far wall.  They are all of great and powerful warriors- past rulers of Ralith's tower.	158
DT51TEXT.DAT	1	507	On this wall is inscribed a word of command.  You do not understand the Runes and you feel compelled to turn around and walk away.	130
DT51TEXT.DAT	2	508	Beyond you is a dark misty room with an air of death about it.  Evil Spirits swirl about you and without the blesing of the priest in Blackfort you cannot get past them.	169
DT51TEXT.DAT	3	509	This is the crypt of the tower.  Moist earth and a cold mist fill the chamber.  To the south can be seen a lone figure surrounded by a semicircle of flames.  The icy claws of insubstantial hands reach out at you from the darkness.	230
DT51TEXT.DAT	4	510	The scorching heat of the flames makes your eyes tear and your shoulders burn.  Within the sanctuary of the flames is a skeleton holding a brilliant crystal to its chest.  As you reach out for the crystal its hollow eyes fill with fire.	236
DT51TEXT.DAT	5	526	This is a balcony high in the tower.  A great wind blows up from outside and swirls inside the room.  A great tornado seems to in the room, and moving towards you with a roaring that deafens the ears.	200
DT51TEXT.DAT	6	527	An Ice Demon has been placed here to guard the door.  The passageway has become quite cold and the demon gives off a deeper chill of its own.	141
DT51TEXT.DAT	7	528	This room is very cold but the sight of the gigantic creature of deep blue ice within chills you to the very bone. .  .	119
DT51TEXT.DAT	8	529	You stand at the entrance to a huge chamber.  It appears empty but you sense a powerful force approaching you.	110
DT51TEXT.DAT	9	530	A great dragon guards this room.  This sight of its huge claws and leathery wings inspires terror.	98
DT51TEXT.DAT	10	531	You are assailed by the tower shaking roar of a tremendous dragon as it pounces upon you.	89
DT51TEXT.DAT	11	532	There are four many-faceted gems implanted in the wall here. One each of blue, green, violet, and red.	102
DT51TEXT.DAT	12	533	With a sweeping motion of her huge wings, Siriadne summons two ancient dragons from the open sky.  'You have come this far only to die.  I have lived for a thousand years and shall live for a thousand more...	208
DT51TEXT.DAT	13	544	You feel as if you are becoming insubstantial. Like a ghost you begin to float upwards through the ceiling above you and into a dark corridor. You feel solid once again and realize there is no way of getting back down.	218
DT51TEXT.DAT	14	545	Didn't they teach you the song in Edrin's Keep? Go there and learn it!	71
DT6TEXT.DAT	0	601	You are in a dark misty passage hidden in the mountains.	56
DT6TEXT.DAT	1	602	You are in a large dark room.  To the south are three shadowy figures.  You can feel them watching your every move, but can not see their faces.  You feel a creeping chill...	174
DT6TEXT.DAT	2	603	A huge shadowy figure and a glint of steel bars your way.  A distant voice whispers, 'We have been watching you....  We have information you want....      Bring us the head of the swamp king and we can talk....'	211
DT6TEXT.DAT	3	604	A shadowy figure whispers, 'The first word of the spell to destroy the gate of Ralith is 'DAZA'.	96
DT6TEXT.DAT	4	605	A shadowy figure whispers, 'Great wizards know of powerful spells in a mystic language that have been lost in the fabric of time.  The spell guarding the gate to Ralith is one of these.'	186
DT6TEXT.DAT	5	606	A shadowy figure whispers, 'The only way to get to the island in the lake of fire is to teleport there.  Only the old man in the cave can do this.  He is a friend of the gate keeper.'	183
DT7TEXT.DAT	0	701	The Tomb of Murthin (The Mad).  Fancy inscription reads, 'This tree represents the life that you gave us'.  Graffiti reads, 'Nothing without a heart can live.  This tree is the only thing in this tomb that was ever truly alive.'	228
DT7TEXT.DAT	1	702	The Tomb of Lothian.  Plaque reads, 'Your life was a maze of reality and illusion'.  Second plaque reads, 'May you be lost forever...'	134
DT7TEXT.DAT	2	703	The Tomb of Cercion.  Inscription reads, 'for a man who loved the sea and died by it'.  Scratchings read, 'That makes us proud we drowned him in it.'	149
DT7TEXT.DAT	3	704	The Tomb of Vandiguard.  Inscription reads, 'May these eternal fires always burn in your memory'.  Second scrawled inscription reads, 'And may you burn in hell for as long. . .'	177
DT7TEXT.DAT	4	705	'Why have you returned?  Take heart, my friends.  You can complete your quest without any further aid from me.'	111
DT7TEXT.DAT	5	706	'I hope you are prepared to name the clan, lest you suffer needlessly!'	71
DT7TEXT.DAT	6	707	The tomb of Eldron Greyhair.  The spirit of Eldron says, 'Search the tombs of the Moonglow clan and return here when you know their names.'	139
DT7TEXT.DAT	7	708	Eldron proclaims, 'You have done well. I have been watching you and your quest to kill Siriadne is noble indeed. To aid you I give you this ring. With it your enemies will be struck by a Tempest!'	196
DT7TEXT.DAT	8	709	Eldron says, 'You must try again, for without passing this test, I can not assist you any more.'	97
