row	addr	desc_addr	original	byte_len	category	note
124	ds:79CC	ds:79C8	Experience	10	na-printer	
125	ds:79DA	ds:79D6	Status     	11	na-printer	
126	ds:79F6	ds:79F2	   (ESC exits) 	15	na-printer	
127	ds:7A18	ds:7A14	Item Breaks !	13	ui	
128	ds:7A2A	ds:7A26	Spell Fails !	13	ui	
129	ds:7A48	ds:7A44	spells.dat	10	data	
130	ds:7A58	ds:7A54	You don't have that skill.	26	ui	檔名/模組名,不是句子,⛔ 不譯 — spells.dat
131	ds:7A7E	ds:7A7A	That character is incapacitated.	32	ui	
132	ds:7AAA	ds:7AA6	You have used that skill today.	31	ui	
133	ds:7AD6	ds:7AD2	That character is not a wizard.	31	ui	
134	ds:7B02	ds:7AFE	You now have about	18	ui	
135	ds:7B18	ds:7B14	 turns of light.	16	ui	
136	ds:7B34	ds:7B30	ITEMS.DAT	9	data	檔名/模組名,不是句子,⛔ 不譯 — ITEMS.DAT
137	ds:7B5E	ds:7B5A	dies in the night.	18	ui	
138	ds:7B78	ds:7B74	 LVL: 	6	ui	
139	ds:7B8C	ds:7B88	H.P.   	7	ui	
140	ds:7B98	ds:7B94	S.P.   	7	ui	
141	ds:7BA4	ds:7BA0	Exp.  	6	ui	
142	ds:7BAE	ds:7BAA	Stat.  	7	ui	
143	ds:7BBC	ds:7BB8	      Skills:	13	ui	
144	ds:7BD4	ds:7BD0	      Items:	12	ui	
145	ds:7BEC	ds:7BE8	Human	5	ui	
146	ds:7BFA	ds:7BF6	Troll	5	ui	
147	ds:7C04	ds:7C00	Dwarf	5	ui	
148	ds:7C0E	ds:7C0A	Elf	3	ui	
149	ds:7C16	ds:7C12	Gnome	5	ui	
150	ds:7C20	ds:7C1C	error	5	na-debug	
151	ds:7C34	ds:7C30	)	1	data	
