kind	town	original	orig_bytes	translation	trans_bytes	fits	note
shop	Arcania	Cloud Nine	10	九霄雲外(Cloud Nine)	20	—	雙關(得意/飄飄然)改用中文對應成語,保留調性 專有名詞附原文對照(硬規則 4)。
shop	Arcania	Foaming Brew	12	泡沫佳釀(Foaming Brew)	22	—	專有名詞附原文對照(硬規則 4)。
shop	Arcania	Magic Shoppe	12	魔法坊(Magic Shoppe)	20	—	專有名詞附原文對照(硬規則 4)。
shop	Arcania	Best Healing	12	極品醫館(Best Healing)	22	—	專有名詞附原文對照(硬規則 4)。
shop	Woodhaven	Dopey Dragon	12	呆萌飛龍(Dopey Dragon)	22	—	俏皮酒館名,保留調性 專有名詞附原文對照(硬規則 4)。
shop	Woodhaven	Sun & Moon	10	日月閣(Sun & Moon)	18	—	專有名詞附原文對照(硬規則 4)。
shop	Woodhaven	Church of Ra	12	拉神殿(Church of Ra)	20	—	埃及太陽神 Ra 通行譯名'拉' 專有名詞附原文對照(硬規則 4)。
shop	Woodhaven	Three Rings	11	三環閣(Three Rings)	19	—	專有名詞附原文對照(硬規則 4)。
shop	Woodhaven	Flickering Light	16	搖曳燭光(Flickering Light)	26	—	專有名詞附原文對照(硬規則 4)。
shop	Terynor	Mystic Sky	10	神秘蒼穹(Mystic Sky)	20	—	專有名詞附原文對照(硬規則 4)。
shop	Terynor	College of Magic	16	魔法學院(College of Magic)	26	—	專有名詞附原文對照(硬規則 4)。
shop	Terynor	Ares' Elixer	12	戰神藥劑(Ares' Elixer)	22	—	Ares(希臘戰神)取意譯'戰神'而非音譯,店名念起來更自然 專有名詞附原文對照(硬規則 4)。
shop	Terynor	Enchanted Steel	15	附魔精鋼(Enchanted Steel)	25	—	專有名詞附原文對照(硬規則 4)。
shop	Terynor	Xeor	4	賽歐(Xeor)	10	—	音譯,造詞專有名詞 專有名詞附原文對照(硬規則 4)。
shop	Terynor	Soft Slumber	12	安眠客棧(Soft Slumber)	22	—	專有名詞附原文對照(硬規則 4)。
shop	Terynor	Loven's Torches	15	洛文火把行(Loven's Torches)	27	—	人名音譯 專有名詞附原文對照(硬規則 4)。
shop	Myrquacid	A Mystic Shield	15	秘法之盾(A Mystic Shield)	25	—	專有名詞附原文對照(硬規則 4)。
shop	Myrquacid	Jorlor's Healers	16	卓洛醫館(Jorlor's Healers)	26	—	人名音譯 專有名詞附原文對照(硬規則 4)。
shop	Myrquacid	Volir's Academy	15	沃利爾學院(Volir's Academy)	27	—	人名音譯 專有名詞附原文對照(硬規則 4)。
shop	Myrquacid	The Rising Star	15	新星閣(The Rising Star)	23	—	業種不明,取字面意譯 專有名詞附原文對照(硬規則 4)。
shop	Myrquacid	The Beaker	10	燒杯屋(The Beaker)	18	—	專有名詞附原文對照(硬規則 4)。
shop	Myrquacid	Adventurer's Inn	16	冒險者旅舍(Adventurer's Inn)	28	—	專有名詞附原文對照(硬規則 4)。
shop	Athe	The Sentinel	12	哨兵殿(The Sentinel)	20	—	業種不明,取字面意譯 專有名詞附原文對照(硬規則 4)。
shop	Athe	The Blacksmith	14	鐵匠鋪(The Blacksmith)	22	—	專有名詞附原文對照(硬規則 4)。
shop	Athe	The Mermaid	11	美人魚(The Mermaid)	19	—	專有名詞附原文對照(硬規則 4)。
shop	Athe	Healthy Herbs	13	養生藥草(Healthy Herbs)	23	—	專有名詞附原文對照(硬規則 4)。
shop	Spider Bay	Erlock's Sail	13	厄洛克帆行(Erlock's Sail)	25	—	人名音譯 專有名詞附原文對照(硬規則 4)。
shop	Spider Bay	Healers of Jor	14	喬爾醫館(Healers of Jor)	24	—	地名/人名 Jor 音譯 專有名詞附原文對照(硬規則 4)。
shop	Spider Bay	Salty's Slumber	15	鹹水客棧(Salty's Slumber)	25	—	Salty 意譯呼應海灣情境,未逐字音譯 專有名詞附原文對照(硬規則 4)。
shop	Spider Bay	Balik's Arena	13	巴利克鬥技場(Balik's Arena)	27	—	人名音譯,與下一列同一人物保持一致 專有名詞附原文對照(硬規則 4)。
shop	Spider Bay	Balik's Blades	14	巴利克劍舖(Balik's Blades)	26	—	人名音譯,與上一列同一人物保持一致 專有名詞附原文對照(硬規則 4)。
shop	Janthrin	The Grindstone	14	磨刀石(The Grindstone)	22	—	專有名詞附原文對照(硬規則 4)。
shop	Janthrin	Vandiguard's	12	范迪加德商行(Vandiguard's)	26	—	人名保留英文(硬規則 4:該名在地城敘述與怪物表都出現);原文未指明業種,補「商行」 專有名詞附原文對照(硬規則 4)。
shop	Janthrin	The Pheonix	11	鳳凰閣(The Pheonix)	19	—	原文 Pheonix 為 Phoenix 的常見拼誤,譯名不受影響 專有名詞附原文對照(硬規則 4)。
shop	Janthrin	Prism	5	稜鏡(Prism)	11	—	專有名詞附原文對照(硬規則 4)。
shop	Atlantis	Healers	7	醫療所(Healers)	15	—	專有名詞附原文對照(硬規則 4)。
shop	Atlantis	Enchanted Armor	15	附魔鎧甲(Enchanted Armor)	25	—	專有名詞附原文對照(硬規則 4)。
shop	Atlantis	Red's Tavern	12	瑞德酒館(Red's Tavern)	22	—	人名音譯 專有名詞附原文對照(硬規則 4)。
shop	Oceana	Seaside Inn	11	海濱客棧(Seaside Inn)	21	—	專有名詞附原文對照(硬規則 4)。
shop	Oceana	RingMaker	9	造戒坊(RingMaker)	17	—	專有名詞附原文對照(硬規則 4)。
shop	Oceana	Odysseus Pub	12	奧德修斯酒館(Odysseus Pub)	26	—	Odysseus 通行人名譯法,與'奧德賽'(Odyssey 書名)區分 專有名詞附原文對照(硬規則 4)。
shop	Triton	Wizard's Lab	12	法師實驗室(Wizard's Lab)	24	—	Wizard 依 glossary 譯法師 專有名詞附原文對照(硬規則 4)。
shop	Triton	Wizard's Library	16	法師圖書館(Wizard's Library)	28	—	Wizard 依 glossary 譯法師 專有名詞附原文對照(硬規則 4)。
