row	addr	original	orig_bytes	translation	trans_bytes	fits	note	wired
169	ds:9EFC	character?	10	角色?	5	Y		engine/use_item.go
170	ds:9F0A	char #: 	8	角色 #： 	8	Y		engine/use_item.go
172	ds:9F20	Aack!  There is something wrong with the data files, please restore!	68	啊咧!資料檔好像出了問題,請重新還原!	35	Y		engine/main.go
179	ds:9FF6	Status: 	8	狀態： 	6	Y		engine/inspect_scene.go
180	ds:A002	Seeks> 	7	目標> 	6	Y		engine/combat_scene.go
181	ds:A012	YES	3	是	2	Y		engine/inspect_scene.go
182	ds:A01A	no	2	否	2	Y		engine/inspect_scene.go
183	ds:A020	Speed:    	10	速度： 	6	Y		engine/inspect_scene.go
184	ds:A02E	Skill:    	10	技巧： 	6	Y		engine/inspect_scene.go
185	ds:A03C	Strength: 	10	力量： 	6	Y		engine/inspect_scene.go
186	ds:A04A	Magical:  	10	魔法： 	6	Y		engine/inspect_scene.go
187	ds:A058	Armor rating:	13	護甲等級：	10	Y		engine/inspect_scene.go
188	ds:A06A	Attacks with:	13	攻擊方式：	10	Y		engine/inspect_scene.go
191	ds:A08A	(ESC, 	6	(ESC,	5	Y		engine/inspect_scene.go
192	ds:A094	 scrolls)	9	捲動)	5	Y		engine/inspect_scene.go
